Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1752747179,100,,Aggregated,28.400000,0.000000,1900,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1578,0,1900.0,3071.8705539390344,740.0467569823377,5115.882095997222,721.7186311787073
1752747180,100,,Aggregated,28.900000,0.000000,4200,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1611,0,4200.0,3088.2023528652862,740.0467569823377,5115.882095997222,723.1272501551831
1752747181,100,,Aggregated,28.100000,0.000000,4200,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1646,0,4200.0,3087.2272583887307,740.0467569823377,5115.882095997222,722.9872417982989
1752747182,100,,Aggregated,28.600000,0.000000,1900,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1677,0,1900.0,3070.3272437805585,740.0467569823377,5115.882095997222,721.1932021466905
1752747183,100,,Aggregated,29.800000,0.000000,1800,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1720,0,1800.0,3065.7367048424694,740.0467569823377,5115.882095997222,720.621511627907
1752747184,100,,Aggregated,30.200000,0.000000,1800,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1748,0,1800.0,3062.636438641366,740.0467569823377,5115.882095997222,720.3512585812357
1752747185,100,,Aggregated,31.400000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1773,0,1600.0,3047.2666966340894,740.0467569823377,5115.882095997222,718.7089678510998
1752747186,100,,Aggregated,31.900000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1812,0,1600.0,3046.520760219398,740.0467569823377,5115.882095997222,718.5711920529801
1752747187,100,,Aggregated,30.500000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1837,0,1600.0,3042.7769106606115,740.0467569823377,5128.909135994036,718.0729450190528
1752747188,100,,Aggregated,30.900000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1871,0,1600.0,3046.5438327549723,740.0467569823377,5128.909135994036,718.5938001068947
1752747189,100,,Aggregated,31.000000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1900,0,1600.0,3048.821702200743,740.0467569823377,5128.909135994036,718.72
1752747190,100,,Aggregated,31.700000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1928,0,1600.0,3042.1480354286605,740.0467569823377,5128.909135994036,718.149377593361
1752747191,100,,Aggregated,31.900000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1963,0,1600.0,3042.531095563115,740.0467569823377,5128.909135994036,718.0983188996435
1752747192,100,,Aggregated,32.200000,0.000000,1600,5000,5000,5100,5100,5100,5100,5100,5100,5100,5100,1993,0,1600.0,3044.0237747381902,740.0467569823377,5128.909135994036,718.3401906673357
1752747193,100,,Aggregated,31.100000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2028,0,1600.0,3045.8479030874373,740.0467569823377,5128.909135994036,718.5236686390532
1752747194,100,,Aggregated,31.400000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2053,0,1600.0,3043.1943851550554,740.0467569823377,5128.909135994036,718.1651242084754
1752747195,100,,Aggregated,31.200000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2078,0,1600.0,3041.2145516416335,740.0467569823377,5128.909135994036,717.9937439846005
1752747196,100,,Aggregated,30.200000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2107,0,1600.0,3035.544507164408,740.0467569823377,5128.909135994036,717.4404366397722
1752747197,100,,Aggregated,30.400000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2140,0,1600.0,3037.6580406904072,740.0467569823377,5128.909135994036,717.6560747663551
1752747198,100,,Aggregated,29.500000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2180,0,1600.0,3047.895256603921,740.0467569823377,5128.909135994036,718.7385321100918
1752747199,100,,Aggregated,29.800000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2206,0,1600.0,3040.907595139824,740.0467569823377,5128.909135994036,718.0507706255667
1752747200,100,,Aggregated,30.500000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2235,0,1600.0,3034.1705354815836,740.0467569823377,5128.909135994036,717.2541387024609
1752747201,100,,Aggregated,30.800000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2266,0,1600.0,3031.5458684127475,740.0467569823377,5128.909135994036,716.8534863195057
1752747202,100,,Aggregated,30.800000,0.000000,1600,5000,5100,5100,5100,5100,5100,5100,5100,5100,5100,2294,0,1600.0,3038.12988480928,740.0467569823377,5128.909135994036,717.3696599825632
